Column1;Направление / компонент;Измерение (аспект);Индикатор;Способ измерения;Категория;Подкатегория;Тип источника;Метод рассчета;Дезагрегирование данных;Доступность в Кыргызстане (Поставьте галочку, если данные доступны);Источник данных (учреждение, обладающее данными);Ответственное учреждение;Имя контактного лица;адрес эл.почты контактного лица;номер телефона контактного лица;Комментарий по расхождениям в данных / соответствию метаданным;Доступны ли данные в динамике? За какие годы?
1;Уголовные преступления в соответствии с КПК ООН;a.1 Подкуп национальных публичных должностных лиц;a.1.1 Распространенность подкупа во взаимоотношениях с публичными должностными лицами  среди населения;Прямая оценка;;;Опрос населения;Показатель рассчитывается как общее количество лиц, которые дали хотя бы одну взятку государственному должностному лицу (или у которых ее потребовали) за последние 12 месяцев, деленное на общее количество лиц, имевших хотя бы один контакт с государственным должностным лицом за тот же период, и умноженное на 100.;"•	возраст и пол лиц, дающих взятку
•	тип должностного лица (сотрудник полиции, работник здравоохранения, сотрудник таможни и т. д.), которому дается взятка";ЛОЖЬ;;;;;;;
2;Уголовные преступления в соответствии с КПК ООН;a.1 Подкуп национальных публичных должностных лиц;a.1.2 Распространенность подкупа во взаимоотношениях с публичными должностными лицами среди коммерческих субъектов;Прямая оценка;;;Опрос бизнеса;"Обследования предприятий Всемирного банка (WBES) — это опросы на уровне фирм, проводимые в странах-клиентах Всемирного банка.
https://www.enterprisesurveys.org/en/enterprisesurveys";"Обследование предприятий фиксирует несколько описательных характеристик компаний-респондентов, включая:
-пол высшего руководителя,
-основной вид деятельности фирмы,
-региональное расположение фирмы,
-экспортный статус,
-количество сотрудников,
-степень иностранного участия в капитале и ряд других характеристик.
Следовательно, показатель может быть детализирован по уровням каждой из этих характеристик.";ЛОЖЬ;;;;;;;
3;Уголовные преступления в соответствии с КПК ООН;a.1 Подкуп национальных публичных должностных лиц;a.1.3 Общая денежная стоимость (в долларах США) взяток, выплаченных всеми лицами в течение предыдущих 12 месяцев;Прямая оценка;;;Опрос населения;Сумма денежных выражений всех взяток, уплаченных опрошенными физическими и юридическими лицами, имевшими контакт с государственными должностными лицами и давшими взятку в течение 12-месячного периода. Экстраполируется на общую численность населения, подверженного риску (тех, кто контактировал с государственными должностными лицами), с использованием весов обследования и методов статистической оценки.;"По видам услуг

По уровню дохода лиц, дающих взятку

По экономическим секторам (для предприятий)

По регионам или административным уровням";ЛОЖЬ;;;;;;;
4;Уголовные преступления в соответствии с КПК ООН;a.1 Подкуп национальных публичных должностных лиц;a.1.4 Восприятие масштаба коррупции в публичном секторе;Косвенные оценки;Восприятие;;Опрос населения;Количество лиц, ответивших, что они воспринимают государственный сектор как коррумпированный, деленное на общее число респондентов, умноженное на 100 и взвешенное в соответствии со схемой выборки.;"по возрасту и полу респондента

по ветвям власти (например: исполнительная, законодательная и судебная)

по уровню государственного управления (например: национальный и местный)";ЛОЖЬ;;;;;;;
5;Уголовные преступления в соответствии с КПК ООН;a.1 Подкуп национальных публичных должностных лиц;a.1.5 В секторе электронного правительства;Косвенные оценки;Риск;ОГРАНИЧЕНИЯ;Ведомственные данные;Количество лиц, совершивших государственную процедуру через цифровую платформу за последние 12 месяцев ÷ Общее количество лиц, совершивших хотя бы одну государственную процедуру за последние 12 месяцев × 100;"По возрасту и полу

По регионам или административным уровням

По типам государственных процедур";ЛОЖЬ;;;;;;;
6;Уголовные преступления в соответствии с КПК ООН;a.1 Подкуп национальных публичных должностных лиц;a.1.6 Сообщения о подкупе в отношениях с публичными должностными лицами от населения/коммерческих субъектов;Косвенные оценки;Риск;ОГРАНИЧЕНИЯ;Опрос населения / бизнеса;Количество жертв взяточничества, которые дали взятку государственному должностному лицу и сообщили об этом факте в компетентные органы или другие официально признанные механизмы разрешения конфликтов за прошлый календарный год или 12 месяцев, деленное на общее количество всех лиц, давших взятку государственному должностному лицу за прошлый календарный год или 12 месяцев, и умноженное на 100.;"По возрасту и полу заявителей

По регионам или административным уровням

По секторам или типам задействованных государственных услуг";ЛОЖЬ;;;;;;;
7;Уголовные преступления в соответствии с КПК ООН;a.1 Подкуп национальных публичных должностных лиц;a.1.7 Криминализация подкупа ;Косвенные оценки;Реагирование;ДЕ-ЮРЕ;Нормативно-правовая база;"Записывается бинарное значение («1» — полное соответствие, «0» — частичное соответствие или несоответствие). Согласно статье 15 ВООНК (Конвенции ООН против коррупции), каждое Государство-участник принимает такие законодательные и иные меры, какие могут потребоваться, с тем чтобы установить в качестве уголовно наказуемых следующие деяния, когда они совершаются умышленно:

а) обещание, предложение или предоставление государственному должностному лицу, лично или через посредников, какого-либо неправомерного преимущества для самого должностного лица или иного физического или юридического лица, с тем чтобы это должностное лицо совершило какое-либо действие или бездействие при выполнении своих должностных обязанностей (активный подкуп);

б) вымогательство или принятие государственным должностным лицом, лично или через посредников, какого-либо неправомерного преимущества для самого должностного лица или иного физического или юридического лица, с тем чтобы это должностное лицо совершило какое-либо действие или бездействие при выполнении своих должностных обязанностей (пассивный подкуп).";;ЛОЖЬ;;;;;;;
8;Уголовные преступления в соответствии с КПК ООН;a.1 Подкуп национальных публичных должностных лиц;a.1.8 Всестороннее определение термина «публичное должностное лицо» ;Косвенные оценки;Реагирование;ДЕ-ЮРЕ;Нормативно-правовая база;"Записывается бинарное значение («1» — полное соответствие, «0» — частичное или полное несоответствие). Публичное должностное лицо — это:

i) любое лицо, занимающее законодательную, исполнительную, административную или судебную должность Государства-участника, будь то по назначению или по избранию, на постоянной или временной основе, за вознаграждение или без такового, независимо от стажа или старшинства этого лица;

ii) любое другое лицо, выполняющее какую-либо публичную функцию, в том числе для государственного органа или государственного предприятия, или предоставляющее какую-либо публичную услугу, как это определено во внутреннем законодательстве Государства-участника и как это применяется в соответствующей области права этого Государства-участника;

iii) любое другое лицо, определяемое как «публичное должностное лицо» во внутреннем законодательстве Государства-участника. Тем не менее для целей некоторых конкретных мер, содержащихся в главе II КУОНК (Конвенции ООН против коррупции), под «публичным должностным лицом» может пониматься любое лицо, выполняющее какую-либо публичную функцию или предоставляющее какую-либо публичную услугу, как это определено во внутреннем законодательстве Государства-участника и как это применяется в соответствующей области права этого Государства-участника.";;ЛОЖЬ;;;;;;;
9;Уголовные преступления в соответствии с КПК ООН;a.1 Подкуп национальных публичных должностных лиц;a.1.9 Выявление подкупа;Косвенные оценки;Реагирование;ДЕ-ФАКТО;Ведомственные данные;Суммируйте общее количество случаев коррупции, официально выявленных и зафиксированных соответствующими органами (такими как антикоррупционные ведомства, правоохранительные органы, надзорные органы или аудиторские учреждения) в течение данного года.;"По типу механизма выявления (аудит, осведомители/разоблачители, СМИ и т. д.)

По регионам или административным уровням";ЛОЖЬ;;;;;;;
10;Уголовные преступления в соответствии с КПК ООН;a.1 Подкуп национальных публичных должностных лиц;a.1.10 Расследование случаев подкупа;Косвенные оценки;Реагирование;ДЕ-ФАКТО;Ведомственные данные;Коэффициент расследований взяточничества = (Количество лиц, находящихся под следствием по факту взяточничества за год ÷ Общая численность населения в том же году) × 100 000;"По возрасту и полу

По регионам или административным уровням

По секторам";ЛОЖЬ;;;;;;;
11;Уголовные преступления в соответствии с КПК ООН;a.1 Подкуп национальных публичных должностных лиц;a.1.11 Уголовное преследование за подкуп;Косвенные оценки;Реагирование;ДЕ-ФАКТО;Ведомственные данные;Коэффициент уголовного преследования за взяточничество = (Количество лиц, привлеченных к ответственности за взяточничество за год ÷ Общая численность населения в том же году) × 100 000;"По возрасту и полу

По регионам или административным уровням

По секторам";ЛОЖЬ;;;;;;;
12;Уголовные преступления в соответствии с КПК ООН;a.1 Подкуп национальных публичных должностных лиц;a.1.12 Осуждение за подкуп;Косвенные оценки;Реагирование;ДЕ-ФАКТО;Ведомственные данные;Коэффициент осуждения за взяточничество = (Количество лиц, привлеченных к уголовной ответственности за взяточничество ÷ Общая численность населения в том же году) × 100 000;"По возрасту и полу

По регионам или административным уровням

По секторам";ЛОЖЬ;;;;;;;
13;Уголовные преступления в соответствии с КПК ООН;a.1 Подкуп национальных публичных должностных лиц;a.1.13 Возвращенные активы, полученные в результате подкупа ;Косвенные оценки;Реагирование;ДЕ-ФАКТО;Ведомственные данные;"Сумма денежной стоимости всех активов, возвращенных по делам о взяточничестве в течение отчетного периода, включая:

активы, конфискованные в ходе уголовного судопроизводства;

активы, изъятые в ходе гражданского судопроизводства;

активы, возвращенные в рамках взаимной правовой помощи;

активы, возмещенные в рамках соглашений о признании вины или мировых соглашений.

Активы должны оцениваться на момент их возврата и конвертироваться в доллары США по официальному обменному курсу.";"По типу активов (наличные средства, недвижимость, финансовые инструменты, предметы роскоши и т. д.)

По механизму возврата (конфискация в рамках уголовного дела, гражданско-правовая конфискация, административный арест/изъятие, взаимная правовая помощь)

По юрисдикции (возврат внутри страны или из-за рубежа)";ЛОЖЬ;;;;;;;
14;Уголовные преступления в соответствии с КПК ООН;a.1 Подкуп национальных публичных должностных лиц;a.1.14 Total number of administrative sanctions;Косвенные оценки;Реагирование;ДЕ-ФАКТО;Ведомственные данные;"Сумма всех административных санкций, наложенных в течение отчетного года, включая:

Дисциплинарные меры в отношении государственных должностных лиц (предупреждения, отстранения от должности, понижения в должности, увольнения)

Дисквалификация компаний (лишение права на участие в государственных закупках)

Административные денежные штрафы";"По типу санкций (дисциплинарные меры против дисквалификации или денежных штрафов)

По объекту (государственные должностные лица против компаний)

По строгости санкций (предупреждения, отстранения, увольнения, временная или постоянная дисквалификация)";ЛОЖЬ;;;;;;;
15;Уголовные преступления в соответствии с КПК ООН;a.2 Хищение , неправомерное присвоение или иное нецелевое использование  имущества или публичных средств ;a.2.1 Дискреционное распределение средств;Косвенные оценки;Риск;ВОЗМОЖНОСТИ;Ведомственные данные;Общий объем государственного бюджета, распределенный вне процесса официального утверждения бюджета, деленный на общий объем утвержденного бюджета и умноженный на 100.;"По секторам (здравоохранение, оборона, инфраструктура и т. д.)

По административным уровням (национальный, региональный, местный)

По годам";ЛОЖЬ;;;;;;;
